tasks,edges,width_peak,depth_avg,Pbar,burstiness,cp_frac,domain,set
27.0,28.0,18.0,3.0,9.581805146284992,2.0,0.10436446835779319,wide,original
28.0,31.0,18.0,4.0,5.786756051820396,2.5714285714285716,0.17280839058100958,wide,original
24.0,23.0,16.0,3.0,5.716530294004275,2.0,0.17493128673678854,wide,original
30.0,35.0,15.0,5.0,5.515258796379548,2.5,0.1813151543598358,wide,original
30.0,33.0,17.0,5.0,6.218611979554365,2.8333333333333335,0.1608075891031332,wide,original
27.0,27.0,21.0,4.0,6.631003480572722,3.111111111111111,0.15080673731053895,wide,original
30.0,32.0,21.0,4.0,8.038054757674875,2.8,0.12440820946699606,wide,original
26.0,28.0,19.0,3.0,7.421274466615545,2.1923076923076925,0.13474774508050877,wide,original
29.0,31.0,19.0,4.0,6.586506961506961,2.6206896551724137,0.15182554362186612,wide,original
24.0,24.0,16.0,5.0,4.409004038861216,3.3333333333333335,0.22680859241360232,wide,original
26.0,26.0,17.0,3.0,6.15353789582664,1.9615384615384617,0.16250814034609343,wide,original
25.0,25.0,17.0,5.0,4.563727593280331,3.4,0.21911912566219074,wide,original
25.0,28.0,14.0,5.0,4.9185569195783305,2.8,0.20331166566752476,wide,original
29.0,30.0,15.0,4.0,6.016930185199416,2.0689655172413794,0.16619770700677616,wide,original
28.0,30.0,21.0,4.0,6.898704705206231,3.0,0.14495474770000405,wide,original
26.0,26.0,18.0,4.0,6.4339012537110225,2.769230769230769,0.15542669378446056,wide,original
27.0,28.0,20.0,3.0,6.578845953831585,2.2222222222222223,0.1520023431187943,wide,original
30.0,36.0,17.0,6.0,5.058615711897888,3.4,0.19768253944413988,wide,original
30.0,34.0,18.0,5.0,6.553134578329905,3.0,0.15259872783733588,wide,original
29.0,32.0,16.0,6.0,5.5601914425980326,3.3103448275862073,0.17984992249345,wide,original
30.0,30.0,22.0,4.0,7.953593266100214,2.933333333333333,0.12572933597977629,wide,original
27.0,27.0,17.0,3.0,6.664046972891718,1.8888888888888888,0.15005896628097623,wide,original
28.0,29.0,18.0,4.0,5.382986771458292,2.5714285714285716,0.18577047324400028,wide,original
30.0,32.0,20.0,3.0,7.569486816539331,2.0,0.13210935222385217,wide,original
